epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5714,1.4355,2.74203,1.75174,0.07525,0.29106,0.07568,0.02456,2.20804,2.94596,3.25704,0.000550474,0.000550474,0.000550474
2,110.357,1.55231,1.91383,1.81915,0.12553,0.21392,0.06953,0.02083,2.76999,2.85946,3.56699,0.00108424,0.00108424,0.00108424
3,148.745,1.60106,2.00889,1.85998,0.23099,0.19867,0.10724,0.02886,3.1898,2.74532,3.64188,0.001596,0.001596,0.001596
4,187.249,1.52979,1.94708,1.79236,0.39937,0.28563,0.27058,0.09474,2.26236,2.20854,2.67893,0.00156798,0.00156798,0.00156798
5,224.519,1.45522,1.83593,1.75172,0.36596,0.31039,0.27799,0.11052,1.93296,2.21313,2.30932,0.00153497,0.00153497,0.00153497
6,262.847,1.39901,1.78518,1.70449,0.58407,0.35115,0.42945,0.18936,1.70713,2.07212,2.21609,0.00150197,0.00150197,0.00150197
7,301.398,1.38038,1.70358,1.67638,0.5285,0.37893,0.42384,0.17147,1.86789,1.72142,2.24481,0.00146896,0.00146896,0.00146896
8,339.64,1.33577,1.70737,1.66432,0.3552,0.3187,0.26807,0.1042,2.32229,2.32819,2.96574,0.00143595,0.00143595,0.00143595
9,377.339,1.35381,1.68724,1.66851,0.56465,0.5151,0.48194,0.21904,1.77228,1.70354,2.08318,0.00140295,0.00140295,0.00140295
10,415.279,1.30578,1.63757,1.63535,0.42385,0.52446,0.44362,0.20166,1.64475,1.66595,1.99144,0.00136994,0.00136994,0.00136994
11,453.722,1.29501,1.59992,1.60914,0.72104,0.50876,0.55769,0.25963,1.55948,1.50476,1.84566,0.00133693,0.00133693,0.00133693
12,492.574,1.28509,1.55197,1.6156,0.62311,0.48997,0.53621,0.26089,1.648,1.53922,1.93856,0.00130393,0.00130393,0.00130393
13,531.231,1.24714,1.54738,1.5856,0.76525,0.51208,0.54863,0.23712,1.63237,1.65259,1.98931,0.00127092,0.00127092,0.00127092
14,568.535,1.21611,1.5151,1.56438,0.68538,0.53162,0.61771,0.29609,1.5489,1.3654,1.86472,0.00123791,0.00123791,0.00123791
15,606.837,1.22521,1.48961,1.56265,0.59436,0.50604,0.50014,0.23836,1.65798,1.57567,2.01113,0.00120491,0.00120491,0.00120491
16,646.302,1.21176,1.47244,1.55449,0.75233,0.51449,0.5948,0.27429,1.58785,1.47536,1.90904,0.0011719,0.0011719,0.0011719
17,684.531,1.22059,1.4589,1.54872,0.63417,0.56532,0.58371,0.3164,1.5554,1.42397,1.85597,0.00113889,0.00113889,0.00113889
18,722.866,1.17253,1.43144,1.52345,0.7974,0.57277,0.65473,0.34522,1.42616,1.34238,1.73279,0.00110589,0.00110589,0.00110589
