epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8541,1.30479,4.68822,0.02679,0.29885,0.30549,0.2637,0.11588,1.76924,2.21797,0.05772,0.000550474,0.000550474,0.000550474
2,84.2275,1.57733,2.25374,0.0342,0.58941,0.29619,0.24191,0.08681,2.36466,2.0402,0.07896,0.00108424,0.00108424,0.00108424
3,108.016,1.65332,2.10484,0.03593,0.29776,0.32381,0.24515,0.08404,2.15862,2.29529,0.07403,0.001596,0.001596,0.001596
4,131.739,1.59756,2.05484,0.03447,0.46368,0.38185,0.37454,0.14847,1.98127,1.76185,0.06317,0.00156798,0.00156798,0.00156798
5,155.507,1.59248,1.92396,0.03388,0.5185,0.48412,0.4837,0.20798,1.95613,1.61093,0.06445,0.00153497,0.00153497,0.00153497
6,179.305,1.53783,1.86808,0.03263,0.58561,0.55309,0.54257,0.24658,1.74678,1.59189,0.05302,0.00150197,0.00150197,0.00150197
7,203.045,1.4814,1.77581,0.03076,0.60375,0.57174,0.58613,0.27293,1.72782,1.38443,0.0553,0.00146896,0.00146896,0.00146896
8,226.841,1.46002,1.7398,0.03007,0.56965,0.47123,0.45854,0.20736,1.89256,1.73857,0.0601,0.00143595,0.00143595,0.00143595
9,250.406,1.44208,1.73339,0.02959,0.69891,0.51766,0.59207,0.30225,1.6017,1.3618,0.04849,0.00140295,0.00140295,0.00140295
10,274.381,1.40823,1.69996,0.02776,0.70983,0.52356,0.57836,0.30626,1.55255,1.30196,0.04562,0.00136994,0.00136994,0.00136994
11,298.169,1.38381,1.62965,0.0284,0.59007,0.55791,0.5551,0.29121,1.68365,1.48412,0.05159,0.00133693,0.00133693,0.00133693
12,321.889,1.37155,1.602,0.02809,0.66725,0.48294,0.55224,0.29102,1.58303,1.45439,0.04703,0.00130393,0.00130393,0.00130393
13,345.634,1.34156,1.60186,0.02737,0.63475,0.54294,0.57804,0.32094,1.60345,1.47295,0.04809,0.00127092,0.00127092,0.00127092
14,369.722,1.30865,1.56986,0.02646,0.66359,0.6466,0.60596,0.31871,1.53247,1.24444,0.04718,0.00123791,0.00123791,0.00123791
15,393.63,1.29869,1.58697,0.02601,0.57655,0.62062,0.6056,0.34858,1.48873,1.21485,0.04226,0.00120491,0.00120491,0.00120491
16,417.546,1.2807,1.53746,0.02495,0.76079,0.58853,0.64025,0.33587,1.47465,1.30927,0.04391,0.0011719,0.0011719,0.0011719
17,441.286,1.26785,1.54682,0.02456,0.64634,0.58462,0.6298,0.37495,1.4299,1.25145,0.04147,0.00113889,0.00113889,0.00113889
18,465.241,1.26942,1.47744,0.025,0.72419,0.53413,0.60245,0.33832,1.42086,1.20148,0.04081,0.00110589,0.00110589,0.00110589
19,489.06,1.21611,1.45327,0.02384,0.73559,0.63757,0.67934,0.40748,1.33317,1.13751,0.03791,0.00107288,0.00107288,0.00107288
20,512.908,1.21835,1.4402,0.02392,0.68166,0.69296,0.66154,0.36975,1.43293,1.14236,0.04236,0.00103987,0.00103987,0.00103987
21,536.641,1.21107,1.40668,0.02363,0.81773,0.58321,0.69726,0.40102,1.38927,1.0634,0.04079,0.00100687,0.00100687,0.00100687
22,560.408,1.15639,1.3402,0.02244,0.78243,0.64165,0.71596,0.40474,1.38464,1.16826,0.0393,0.000973861,0.000973861,0.000973861
23,584.268,1.17203,1.38315,0.02261,0.72796,0.66007,0.70761,0.45242,1.29942,1.07468,0.0362,0.000940855,0.000940855,0.000940855
24,608.145,1.15605,1.33412,0.02212,0.82528,0.549,0.69641,0.41152,1.39328,1.14565,0.03873,0.000907848,0.000907848,0.000907848
25,631.849,1.14696,1.36924,0.02189,0.7124,0.71628,0.72378,0.46532,1.30938,0.96035,0.03684,0.000874842,0.000874842,0.000874842
26,655.767,1.138,1.29499,0.02161,0.80218,0.63494,0.73181,0.46621,1.26909,0.97132,0.03521,0.000841835,0.000841835,0.000841835
27,679.732,1.1367,1.27458,0.02138,0.72723,0.66679,0.70986,0.42635,1.29126,1.05659,0.03675,0.000808828,0.000808828,0.000808828
28,703.448,1.10761,1.27035,0.02161,0.69333,0.70337,0.67145,0.43442,1.23003,0.94037,0.03443,0.000775822,0.000775822,0.000775822
29,727.054,1.11458,1.26753,0.02116,0.82247,0.67315,0.74932,0.48159,1.20486,0.86211,0.03223,0.000742815,0.000742815,0.000742815
30,750.874,1.10884,1.25318,0.02129,0.76459,0.65013,0.73521,0.48259,1.23423,0.90685,0.03355,0.000709809,0.000709809,0.000709809
31,774.63,1.08947,1.23073,0.02047,0.78123,0.71561,0.78029,0.49332,1.25399,0.89056,0.03354,0.000676802,0.000676802,0.000676802
